,DESA,PROVINSI,KAB_KOTA,KECAMATAN
24,PACARKEMBANG,JAWA TIMUR,SURABAYA,TAMBAKSARI
25,ALUN-ALUN CONTONG,JAWA TIMUR,SURABAYA,BUBUTAN
26,BUBUTAN,JAWA TIMUR,SURABAYA,BUBUTAN
27,JEPARA,JAWA TIMUR,SURABAYA,BUBUTAN
4051,TANDES,JAWA TIMUR,SURABAYA,TANDES
4060,SEMEMI,JAWA TIMUR,SURABAYA,BENOWO
4166,TAMBAK SARIOSO,JAWA TIMUR,SURABAYA,ASEM ROWO
4176,BULAK,JAWA TIMUR,SURABAYA,BULAK
4189,KETABANG,JAWA TIMUR,SURABAYA,GENTENG
4190,KARANGPILANG,JAWA TIMUR,SURABAYA,KARANGPILANG
4191,SIDOSERMO,JAWA TIMUR,SURABAYA,WONOCOLO
4192,KALIRUNGKUT,JAWA TIMUR,SURABAYA,RUNGKUT
4193,NGAGEL,JAWA TIMUR,SURABAYA,WONOKROMO
4194,RUNGKUT KIDUL,JAWA TIMUR,SURABAYA,RUNGKUT
4195,KEDUNG BARUK,JAWA TIMUR,SURABAYA,RUNGKUT
4196,WONOREJO,JAWA TIMUR,SURABAYA,RUNGKUT
4197,MEDOKAN AYU,JAWA TIMUR,SURABAYA,RUNGKUT
4198,WONOKROMO,JAWA TIMUR,SURABAYA,WONOKROMO
4199,SAWUNGGALING,JAWA TIMUR,SURABAYA,WONOKROMO
4200,WONOREJO,JAWA TIMUR,SURABAYA,TEGALSARI
4201,SAWAHAN,JAWA TIMUR,SURABAYA,SAWAHAN
4202,TEGALSARI,JAWA TIMUR,SURABAYA,TEGALSARI
4203,BANYUURIP,JAWA TIMUR,SURABAYA,SAWAHAN
4204,GENTENG,JAWA TIMUR,SURABAYA,GENTENG
4205,DR. SOETOMO,JAWA TIMUR,SURABAYA,TEGALSARI
4206,KEDUNGDORO,JAWA TIMUR,SURABAYA,TEGALSARI
4207,AIRLANGGA,JAWA TIMUR,SURABAYA,GUBENG
4208,BARATAJAYA,JAWA TIMUR,SURABAYA,GUBENG
4209,GEBANG PUTIH,JAWA TIMUR,SURABAYA,SUKOLILO
4210,GADING,JAWA TIMUR,SURABAYA,TAMBAKSARI
4211,MENUR PUMPUNGAN,JAWA TIMUR,SURABAYA,SUKOLILO
4212,NGINDEN JANGKUNGAN,JAWA TIMUR,SURABAYA,SUKOLILO
4213,SEMOLOWARU,JAWA TIMUR,SURABAYA,SUKOLILO
4214,RANGKAH,JAWA TIMUR,SURABAYA,TAMBAKSARI
4215,SIDODADI,JAWA TIMUR,SURABAYA,SIMOKERTO
4216,BONGKARAN,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN
4217,KREMBANGAN UTARA,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN
4218,MANUKAN KULON,JAWA TIMUR,SURABAYA,TANDES
4219,KREMBANGAN SELATAN,JAWA TIMUR,SURABAYA,KREMBANGAN
4220,PERAK BARAT,JAWA TIMUR,SURABAYA,KREMBANGAN
4221,MOROKREMBANGAN,JAWA TIMUR,SURABAYA,KREMBANGAN
4222,AMPEL,JAWA TIMUR,SURABAYA,SEMAMPIR
4223,PEGIRIKAN,JAWA TIMUR,SURABAYA,SEMAMPIR
4224,SIDOTOPO,JAWA TIMUR,SURABAYA,SEMAMPIR
4225,SIDOTOPO WETAN,JAWA TIMUR,SURABAYA,KENJERAN
4226,TAMBAK WEDI,JAWA TIMUR,SURABAYA,KENJERAN
4227,BANGKINGAN,JAWA TIMUR,SURABAYA,LAKARSANTRI
4229,LIDAH KULON,JAWA TIMUR,SURABAYA,LAKARSANTRI
4230,SUMUR WELUT,JAWA TIMUR,SURABAYA,LAKARSANTRI
4231,KANDANGAN,JAWA TIMUR,SURABAYA,BENOWO
4233,TAMBAK OSOWILANGUN,JAWA TIMUR,SURABAYA,BENOWO
4234,ROMOKALISARI,JAWA TIMUR,SURABAYA,BENOWO
4235,WIYUNG,JAWA TIMUR,SURABAYA,WIYUNG
4237,GUNUNG SARI,JAWA TIMUR,SURABAYA,DUKUHPAKIS
4238,GAYUNGAN,JAWA TIMUR,SURABAYA,GAYUNGAN
4241,JAMBANGAN,JAWA TIMUR,SURABAYA,JAMBANGAN
4242,KARAH,JAWA TIMUR,SURABAYA,JAMBANGAN
4243,KEBONSARI,JAWA TIMUR,SURABAYA,JAMBANGAN
4244,KENDANGSARI,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO
4245,KALIJUDAN,JAWA TIMUR,SURABAYA,MULYOREJO
4246,RUNGKUT TENGAH,JAWA TIMUR,SURABAYA,GUNUNG ANYAR
4247,MANYAR SABRANGAN,JAWA TIMUR,SURABAYA,MULYOREJO
4248,KALISARI,JAWA TIMUR,SURABAYA,MULYOREJO
4249,DUKUH SUTOREJO,JAWA TIMUR,SURABAYA,MULYOREJO
4250,ASEM ROWO,JAWA TIMUR,SURABAYA,ASEM ROWO
4251,GENTING KALIANAK,JAWA TIMUR,SURABAYA,ASEM ROWO
4252,PAKAL,JAWA TIMUR,SURABAYA,PAKAL
4253,SUMBER REJO,JAWA TIMUR,SURABAYA,PAKAL
4254,BENOWO,JAWA TIMUR,SURABAYA,PAKAL
4291,GUNDIH,JAWA TIMUR,SURABAYA,BUBUTAN
4292,TEMBOK DUKUH,JAWA TIMUR,SURABAYA,BUBUTAN
7192,PENELEH,JAWA TIMUR,SURABAYA,GENTENG
8276,KARANG POH,JAWA TIMUR,SURABAYA,TANDES
8385,TAMBAKSARI,JAWA TIMUR,SURABAYA,TAMBAKSARI
8389,KEDUNG COWEK,JAWA TIMUR,SURABAYA,BULAK
8392,PLOSO,JAWA TIMUR,SURABAYA,TAMBAKSARI
8398,KENJERAN,JAWA TIMUR,SURABAYA,BULAK
8402,KAPASARI,JAWA TIMUR,SURABAYA,GENTENG
8415,KEBRAON,JAWA TIMUR,SURABAYA,KARANGPILANG
8416,KEDURUS,JAWA TIMUR,SURABAYA,KARANGPILANG
8417,WARUGUNUNG,JAWA TIMUR,SURABAYA,KARANGPILANG
8418,SUKOLILO BARU,JAWA TIMUR,SURABAYA,BULAK
8419,BENDUL MERISI,JAWA TIMUR,SURABAYA,WONOCOLO
8420,MARGOREJO,JAWA TIMUR,SURABAYA,WONOCOLO
8421,JAGIR,JAWA TIMUR,SURABAYA,WONOKROMO
8422,JEMUR WONOSARI,JAWA TIMUR,SURABAYA,WONOCOLO
8423,SIWALANKERTO,JAWA TIMUR,SURABAYA,WONOCOLO
8424,PENJARINGANSARI,JAWA TIMUR,SURABAYA,RUNGKUT
8425,LONTAR,JAWA TIMUR,SURABAYA,SAMBIKEREP
8426,NGAGEL REJO,JAWA TIMUR,SURABAYA,WONOKROMO
8427,DARMO,JAWA TIMUR,SURABAYA,WONOKROMO
8428,PETEMON,JAWA TIMUR,SURABAYA,SAWAHAN
8429,PUTATJAYA,JAWA TIMUR,SURABAYA,SAWAHAN
8430,KUPANG KRAJAN,JAWA TIMUR,SURABAYA,SAWAHAN
8431,PAKIS,JAWA TIMUR,SURABAYA,SAWAHAN
8432,EMBONG KALIASIN,JAWA TIMUR,SURABAYA,GENTENG
8433,KEPUTRAN,JAWA TIMUR,SURABAYA,TEGALSARI
8434,GUBENG,JAWA TIMUR,SURABAYA,GUBENG
8435,MOJO,JAWA TIMUR,SURABAYA,GUBENG
8436,KERTAJAYA,JAWA TIMUR,SURABAYA,GUBENG
8437,PUCANGSEWU,JAWA TIMUR,SURABAYA,GUBENG
