DESA,PROVINSI,KAB_KOTA,KECAMATAN
PACARKEMBANG,JAWA TIMUR,SURABAYA,TAMBAKSARI
ALUN-ALUN CONTONG,JAWA TIMUR,SURABAYA,BUBUTAN
BUBUTAN,JAWA TIMUR,SURABAYA,BUBUTAN
JEPARA,JAWA TIMUR,SURABAYA,BUBUTAN
TANDES,JAWA TIMUR,SURABAYA,TANDES
SEMEMI,JAWA TIMUR,SURABAYA,BENOWO
TAMBAK SARIOSO,JAWA TIMUR,SURABAYA,ASEM ROWO
BULAK,JAWA TIMUR,SURABAYA,BULAK
KETABANG,JAWA TIMUR,SURABAYA,GENTENG
KARANGPILANG,JAWA TIMUR,SURABAYA,KARANGPILANG
SIDOSERMO,JAWA TIMUR,SURABAYA,WONOCOLO
KALIRUNGKUT,JAWA TIMUR,SURABAYA,RUNGKUT
NGAGEL,JAWA TIMUR,SURABAYA,WONOKROMO
RUNGKUT KIDUL,JAWA TIMUR,SURABAYA,RUNGKUT
KEDUNG BARUK,JAWA TIMUR,SURABAYA,RUNGKUT
WONOREJO,JAWA TIMUR,SURABAYA,RUNGKUT
MEDOKAN AYU,JAWA TIMUR,SURABAYA,RUNGKUT
WONOKROMO,JAWA TIMUR,SURABAYA,WONOKROMO
SAWUNGGALING,JAWA TIMUR,SURABAYA,WONOKROMO
WONOREJO,JAWA TIMUR,SURABAYA,TEGALSARI
SAWAHAN,JAWA TIMUR,SURABAYA,SAWAHAN
TEGALSARI,JAWA TIMUR,SURABAYA,TEGALSARI
BANYUURIP,JAWA TIMUR,SURABAYA,SAWAHAN
GENTENG,JAWA TIMUR,SURABAYA,GENTENG
DR. SOETOMO,JAWA TIMUR,SURABAYA,TEGALSARI
KEDUNGDORO,JAWA TIMUR,SURABAYA,TEGALSARI
AIRLANGGA,JAWA TIMUR,SURABAYA,GUBENG
BARATAJAYA,JAWA TIMUR,SURABAYA,GUBENG
GEBANG PUTIH,JAWA TIMUR,SURABAYA,SUKOLILO
GADING,JAWA TIMUR,SURABAYA,TAMBAKSARI
MENUR PUMPUNGAN,JAWA TIMUR,SURABAYA,SUKOLILO
NGINDEN JANGKUNGAN,JAWA TIMUR,SURABAYA,SUKOLILO
SEMOLOWARU,JAWA TIMUR,SURABAYA,SUKOLILO
RANGKAH,JAWA TIMUR,SURABAYA,TAMBAKSARI
SIDODADI,JAWA TIMUR,SURABAYA,SIMOKERTO
BONGKARAN,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN
KREMBANGAN UTARA,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN
MANUKAN KULON,JAWA TIMUR,SURABAYA,TANDES
KREMBANGAN SELATAN,JAWA TIMUR,SURABAYA,KREMBANGAN
PERAK BARAT,JAWA TIMUR,SURABAYA,KREMBANGAN
MOROKREMBANGAN,JAWA TIMUR,SURABAYA,KREMBANGAN
AMPEL,JAWA TIMUR,SURABAYA,SEMAMPIR
PEGIRIKAN,JAWA TIMUR,SURABAYA,SEMAMPIR
SIDOTOPO,JAWA TIMUR,SURABAYA,SEMAMPIR
SIDOTOPO WETAN,JAWA TIMUR,SURABAYA,KENJERAN
TAMBAK WEDI,JAWA TIMUR,SURABAYA,KENJERAN
BANGKINGAN,JAWA TIMUR,SURABAYA,LAKARSANTRI
LIDAH KULON,JAWA TIMUR,SURABAYA,LAKARSANTRI
