tanggal,harga
01-Jul-11,22100
02-Jul-11,23400
03-Jul-11,23400
04-Jul-11,24100
05-Jul-11,23800
06-Jul-11,22200
07-Jul-11,21000
08-Jul-11,18840
09-Jul-11,18840
10-Jul-11,16200
11-Jul-11,16200
12-Jul-11,17400
13-Jul-11,16100
14-Jul-11,16100
15-Jul-11,14600
16-Jul-11,15920
17-Jul-11,15800
18-Jul-11,15100
19-Jul-11,15187
20-Jul-11,15250
21-Jul-11,15642
22-Jul-11,14500
23-Jul-11,14187
24-Jul-11,14812
25-Jul-11,14642
26-Jul-11,14125
27-Jul-11,14125
28-Jul-11,14357
29-Jul-11,14400
30-Jul-11,14700
31-Jul-11,13920
01-Aug-11,14928
02-Aug-11,13725
03-Aug-11,17250
04-Aug-11,16153
05-Aug-11,14437
06-Aug-11,16000
07-Aug-11,16000
08-Aug-11,15038
09-Aug-11,15500
10-Aug-11,15571
11-Aug-11,14846
12-Aug-11,13500
13-Aug-11,15187
14-Aug-11,15312
15-Aug-11,14807
16-Aug-11,15187
17-Aug-11,15375
18-Aug-11,15138
19-Aug-11,14812
20-Aug-11,14125
21-Aug-11,13937
22-Aug-11,14923
23-Aug-11,14250
24-Aug-11,14625
25-Aug-11,14615
26-Aug-11,14062
27-Aug-11,14000
28-Aug-11,14000
29-Aug-11,14000
30-Aug-11,14000
31-Aug-11,14000
01-Sep-11,14000
02-Sep-11,14000
03-Sep-11,14000
04-Sep-11,14000
05-Sep-11,14200
06-Sep-11,12562
07-Sep-11,13038
08-Sep-11,13025
09-Sep-11,12650
10-Sep-11,10000
11-Sep-11,10060
12-Sep-11,11192
13-Sep-11,10000
14-Sep-11,9500
15-Sep-11,11346
16-Sep-11,9500
17-Sep-11,10400
18-Sep-11,9840
19-Sep-11,10621
20-Sep-11,9375
21-Sep-11,9333
22-Sep-11,10850
23-Sep-11,9687
24-Sep-11,10900
25-Sep-11,11000
26-Sep-11,10150
27-Sep-11,10055
28-Sep-11,9950
29-Sep-11,11045
30-Sep-11,10285
01-Oct-11,11900
02-Oct-11,11860
03-Oct-11,10523
04-Oct-11,9818
05-Oct-11,11875
06-Oct-11,11812
07-Oct-11,11350
08-Oct-11,15600
09-Oct-11,14500
10-Oct-11,11738
11-Oct-11,11763
12-Oct-11,12095
13-Oct-11,12652
14-Oct-11,12400
15-Oct-11,12444
16-Oct-11,12250
17-Oct-11,11975
18-Oct-11,12305
19-Oct-11,12835
20-Oct-11,11933
21-Oct-11,12105
22-Oct-11,12000
23-Oct-11,11250
24-Oct-11,12375
25-Oct-11,12148
26-Oct-11,12264
27-Oct-11,11991
28-Oct-11,12291
29-Oct-11,11964
30-Oct-11,11791
31-Oct-11,12388
01-Nov-11,12260
02-Nov-11,12531
03-Nov-11,12637
04-Nov-11,13000
05-Nov-11,14611
06-Nov-11,15038
07-Nov-11,13672
08-Nov-11,13960
09-Nov-11,14318
10-Nov-11,14111
11-Nov-11,15393
12-Nov-11,15319
13-Nov-11,14850
14-Nov-11,14391
15-Nov-11,14914
16-Nov-11,15250
17-Nov-11,14228
18-Nov-11,14775
19-Nov-11,14388
20-Nov-11,14200
21-Nov-11,16279
22-Nov-11,15965
23-Nov-11,16500
24-Nov-11,16150
25-Nov-11,16926
26-Nov-11,17142
27-Nov-11,16588
28-Nov-11,17973
29-Nov-11,18602
30-Nov-11,19225
01-Dec-11,18637
02-Dec-11,20308
03-Dec-11,19944
04-Dec-11,20083
05-Dec-11,21173
06-Dec-11,21888
07-Dec-11,22108
08-Dec-11,21740
09-Dec-11,22111
10-Dec-11,22392
11-Dec-11,22200
12-Dec-11,22569
13-Dec-11,23875
14-Dec-11,23658
15-Dec-11,23095
16-Dec-11,23033
17-Dec-11,22650
18-Dec-11,22343
19-Dec-11,22641
20-Dec-11,23114
21-Dec-11,23044
22-Dec-11,22625
23-Dec-11,23040
24-Dec-11,22900
25-Dec-11,23351
26-Dec-11,23529
27-Dec-11,21841
28-Dec-11,21915
29-Dec-11,22000
30-Dec-11,21307
31-Dec-11,20895
01-Jan-12,20646
02-Jan-12,20320
03-Jan-12,20514
04-Jan-12,19815
05-Jan-12,18173
06-Jan-12,17712
07-Jan-12,17594
08-Jan-12,17133
09-Jan-12,15745
10-Jan-12,15076
11-Jan-12,14483
12-Jan-12,14207
13-Jan-12,13765
14-Jan-12,13511
15-Jan-12,13120
16-Jan-12,12522
17-Jan-12,12366
18-Jan-12,12124
19-Jan-12,11937
20-Jan-12,11699
21-Jan-12,11625
22-Jan-12,11526
23-Jan-12,11335
24-Jan-12,10824
25-Jan-12,10274
26-Jan-12,10121
27-Jan-12,10053
28-Jan-12,10059
29-Jan-12,10102
30-Jan-12,9977
31-Jan-12,10418
01-Feb-12,11043
02-Feb-12,11673
03-Feb-12,11969
04-Feb-12,12992
05-Feb-12,13660
06-Feb-12,15129
07-Feb-12,16076
08-Feb-12,16442
09-Feb-12,16309
10-Feb-12,15819
11-Feb-12,15410
12-Feb-12,15096
13-Feb-12,14075
14-Feb-12,13531
15-Feb-12,13164
16-Feb-12,13031
17-Feb-12,12958
18-Feb-12,12994
19-Feb-12,12922
20-Feb-12,12831
21-Feb-12,12822
22-Feb-12,12879
23-Feb-12,13094
24-Feb-12,13310
25-Feb-12,13942
26-Feb-12,14666
27-Feb-12,15998
28-Feb-12,16706
29-Feb-12,17069
01-Mar-12,17639
02-Mar-12,18426
03-Mar-12,19870
04-Mar-12,20170
05-Mar-12,21907
06-Mar-12,23232
07-Mar-12,23618
08-Mar-12,23265
09-Mar-12,23735
10-Mar-12,24138
11-Mar-12,24131
12-Mar-12,24984
13-Mar-12,25092
14-Mar-12,24634
15-Mar-12,24573
16-Mar-12,24517
17-Mar-12,24315
18-Mar-12,24612
19-Mar-12,25101
20-Mar-12,25841
21-Mar-12,27230
22-Mar-12,28139
23-Mar-12,28529
24-Mar-12,29085
25-Mar-12,29162
26-Mar-12,29922
27-Mar-12,30704
28-Mar-12,32116
29-Mar-12,33322
30-Mar-12,33145
31-Mar-12,33825
